Initial Letter	Lower Case Term	Term	Page Link
A	arc	ARC	automatic-reference-counting.html
{	{}	{}	curly-braces.html
$	$	$	dollar-sign.html
E	enumeration	enumeration	enum.html
I	ib	IB	interface-builder.html
M	mvvm	MVVM	model-view-viewmodel-design-pattern.html
C	copy	copy	nscopying.html
T	text field	text field	nstextfield.html
F	file	file	obtain-information-about-a-file.html
N	nsoutlineview	NSOutlineView	outline-view.html
D	defaults	defaults	preferences.html
C	customstringconvertible	CustomStringConvertible	represent-your-custom-class-instance-as-a-string.html
F	first responder	first responder	responder-chain.html
-	->	->	return-arrow.html
@	@state	@State	state.html
U	uti	UTI	uniform-type-identifier.html
